university_id;association_id;registration_date;fee;name;foundation_date;designation;objective;graduate_id;obs
180;156;12/8/2025;3213;Thomas, Gomez and Robertson;2/7/2025;Global University Research Alliance;Promote interdisciplinary academic collaboration;;
95;436;13/06/2023;577;Patterson Inc;26/08/2022;International Academic Collaboration Network;Support international research partnerships;119;leg
282;379;5/11/2024;1174;Mason-Powell;11/9/2024;European Higher Education Partnership;Advance scientific innovation across member institutions;;
66;333;30/03/2026;874;Jackson, Fischer and Green;8/2/2026;Pacific Rim University Consortium;Enhance global knowledge exchange;;
342;915;14/06/2023;4022;Ford, Mendoza and Wang;9/4/2023;North American Scholarly Association;Strengthen higher education quality standards;;
18;138;15/12/2025;4988;Sweeney, Franklin and Hayes;17/09/2025;African University Innovation Forum;Encourage student mobility programs;;
280;637;5/7/2021;4809;Johnson Inc;8/5/2021;Asian Academic Excellence Council;Develop joint academic degree initiatives;;
84;100;1/9/2023;306;Buchanan-Smith;19/07/2023;Latin American Higher Learning Network;Facilitate cross?border faculty collaboration;;
96;728;1/4/2026;2634;Perry and Sons;11/1/2026;Arctic Circle University Partnership;Promote sustainable campus practices;37;concern
96;728;19/03/2026;2634;Perry and Sons;11/1/2026;Arctic Circle University Partnership;Promote sustainable campus practices;40;fact
363;694;22/06/2024;1053;Hernandez-Marsh;22/08/2023;Mediterranean Academic Exchange Group;Expand digital learning opportunities;;
278;281;10/6/2024;1994;Mccoy-Hale;14/04/2024;Central European Research Collective;Support open?access research initiatives;;
80;243;1/12/2024;2953;Obrien-Ferguson;10/6/2022;Global STEM Advancement Association;Improve diversity and inclusion in academia;;
385;884;2/12/2025;420;Tucker-Humphrey;8/10/2025;International Humanities Scholars Union;Advance equitable access to education;;
385;830;11/12/2025;1826;Tucker-Humphrey;8/10/2025;World University Sustainability Forum;Strengthen global research infrastructure;;
139;166;21/05/2023;1803;Williams, Rivera and Davidson;24/02/2021;Transatlantic Education Cooperation League;Promote ethical research practices;;
5;698;16/03/2026;3411;Daugherty, Werner and Hendrix;18/12/2025;Pan-African Academic Development Council;Support early?career researchers;;
325;332;22/08/2023;1669;Nixon Inc;25/07/2023;South Asian University Alliance;Enhance university governance frameworks;;
458;521;30/07/2024;2331;Carter Group;19/08/2022;Nordic Higher Education Consortium;Develop leadership training for academic staff;;
149;674;14/03/2025;2118;Burnett-Howard;20/03/2022;Caribbean Academic Partnership Network;Encourage community?engaged scholarship;123;ago
252;340;24/03/2024;801;Simpson, Vaughan and Mcdonald;29/01/2023;Middle East University Collaboration Forum;Promote cultural exchange among students;181;along
238;742;31/01/2026;2715;Beck-King;30/08/2024;International Society for Applied Sciences;Support multilingual education initiatives;;
441;327;6/8/2024;3925;Carpenter, Lester and Hanson;16/05/2024;Middle East University Collaboration Forum;Advance STEM education globally;;
